,datetime,price,ticker,date,sp500,ln_return_index,ln_return_price,roll_resid,year,month
12733,2017-03-27,118.83000183105469,ALXN,2017-03-27,4496.529785,-0.0010180621973686593,-0.0036120858963780977,-0.0036120858963780977,2017,3
12740,2017-03-28,118.52999877929688,ALXN,2017-03-28,4529.169922,0.007232742136395031,-0.0025278329182378194,-0.0025278329182378194,2017,3
12747,2017-03-29,120.72000122070312,ALXN,2017-03-29,4535.009765999999,0.0012885545099590853,0.018307741778724327,0.018307741778724327,2017,3
12754,2017-03-30,122.08000183105469,ALXN,2017-03-30,4548.459961,0.002961468521263669,0.011202757963508194,0.011202757963508194,2017,3
12761,2017-03-31,121.23999786376952,ALXN,2017-03-31,4538.209961,-0.0022560529733119117,-0.006904547965203079,-0.006904547965203079,2017,3
12768,2017-04-03,119.29000091552734,ALXN,2017-04-03,4530.97998,-0.0015944053611541957,-0.01621452360109506,-0.01621452360109506,2017,4
12775,2017-04-04,118.3000030517578,ALXN,2017-04-04,4534.25,0.0007214422908288871,-0.008333714187548255,-0.008333714187548255,2017,4
12782,2017-04-05,116.20999908447266,ALXN,2017-04-05,4520.8598630000015,-0.0029574785866811073,-0.01782490542454245,-0.01782490542454245,2017,4
12789,2017-04-06,115.48999786376952,ALXN,2017-04-06,4530.930176,0.002225044352841566,-0.0062149637266750435,-0.0062149637266750435,2017,4
12796,2017-04-07,115.62000274658205,ALXN,2017-04-07,4527.200195,-0.0008235653623987928,0.0011250477796876563,0.0011250477796876563,2017,4
12803,2017-04-10,117.41000366210938,ALXN,2017-04-10,4530.569824,0.0007440306274896242,0.0153631384233191,0.0153631384233191,2017,4
12810,2017-04-11,116.88999938964844,ALXN,2017-04-11,4524.709961,-0.0012942424656336854,-0.004438797434809439,-0.004438797434809439,2017,4
12817,2017-04-12,114.56999969482422,ALXN,2017-04-12,4507.759765999999,-0.003753173917976348,-0.020047329156217365,-0.020047329156217365,2017,4
12824,2017-04-13,118.3499984741211,ALXN,2017-04-13,4477.069824,-0.006831528867685486,0.03246033582518522,0.03246033582518522,2017,4
12831,2017-04-17,118.83000183105469,ALXN,2017-04-17,4515.649902,0.008580344071961345,0.004047592643904397,0.004047592643904397,2017,4
12838,2017-04-18,118.22000122070312,ALXN,2017-04-18,4502.660156,-0.0028807514710972406,-0.005146609989048079,-0.005146609989048079,2017,4
12845,2017-04-19,120.48999786376952,ALXN,2017-04-19,4495.560059,-0.0015781117385173877,0.019019438483746036,0.019019438483746036,2017,4
12852,2017-04-20,118.72000122070312,ALXN,2017-04-20,4529.649902,0.007554396023946537,-0.014798954504386622,-0.014798954504386622,2017,4
12859,2017-04-21,116.81999969482422,ALXN,2017-04-21,4515.899902,-0.0030401713303142594,-0.01613350370146886,-0.01613350370146886,2017,4
12866,2017-04-24,119.54000091552734,ALXN,2017-04-24,4564.930176,0.0107987375693142,0.023016765055056947,0.023016765055056947,2017,4
12873,2017-04-25,120.5500030517578,ALXN,2017-04-25,4592.740234000001,0.006073628389143055,0.008413578887605086,0.008413578887605086,2017,4
12880,2017-04-26,120.7300033569336,ALXN,2017-04-26,4590.560059,-0.0004748129694989314,0.001492045207127078,0.001492045207127078,2017,4
12887,2017-04-27,126.91000366210938,ALXN,2017-04-27,4593.569824,0.0006554273831245835,0.049921527528435136,0.049921527528435136,2017,4
12894,2017-04-28,127.77999877929688,ALXN,2017-04-28,4584.819824,-0.0019066531246393803,0.006831822943006007,0.006831822943006007,2017,4
12901,2017-05-01,131.58999633789062,ALXN,2017-05-01,4592.779785,0.0017346503083793695,0.029380974711320746,0.029380974711320746,2017,5
12908,2017-05-02,133.41000366210938,ALXN,2017-05-02,4598.240234000001,0.0011882140678965254,0.013736120308395564,0.013736120308395564,2017,5
12915,2017-05-03,130.42999267578122,ALXN,2017-05-03,4593.319824,-0.001070636635991995,-0.022590492412963778,-0.022590492412963778,2017,5
12922,2017-05-04,130.14999389648438,ALXN,2017-05-04,4596.240234000001,0.0006355930163977707,-0.0021490436832233535,-0.0021490436832233535,2017,5
12929,2017-05-05,128.82000732421878,ALXN,2017-05-05,4615.089844,0.004092706732183294,-0.010271446569596755,-0.010271446569596755,2017,5
12936,2017-05-08,124.4800033569336,ALXN,2017-05-08,4615.72998,0.0001386953733756393,-0.03427105057723175,-0.03427105057723175,2017,5
12943,2017-05-09,124.6999969482422,ALXN,2017-05-09,4611.209961,-0.0009797439650558795,0.0017657408154580446,0.0017657408154580446,2017,5
12950,2017-05-10,120.9499969482422,ALXN,2017-05-10,4618.189941,0.0015125536665133196,-0.030533616388722533,-0.030533616388722533,2017,5
12957,2017-05-11,119.04000091552734,ALXN,2017-05-11,4609.689941,-0.0018422438334001136,-0.015917633048767275,-0.015917633048767275,2017,5
12964,2017-05-12,120.08000183105469,ALXN,2017-05-12,4602.959961,-0.0014610304893266754,0.00869862379812614,0.00869862379812614,2017,5
12971,2017-05-15,120.93000030517578,ALXN,2017-05-15,4625.509765999999,0.004887018226576983,0.007053665746928315,0.007053665746928315,2017,5
12978,2017-05-16,120.3000030517578,ALXN,2017-05-16,4623.259765999999,-0.000486551218862685,-0.005223219972229827,-0.005223219972229827,2017,5
12985,2017-05-17,116.1500015258789,ALXN,2017-05-17,4540.580078,-0.018045258971574253,-0.03510617599496922,-0.03510617599496922,2017,5
12992,2017-05-18,116.66999816894531,ALXN,2017-05-18,4557.410156,0.00369973956109802,0.0044669487879005374,0.0044669487879005374,2017,5
