,ticker,year,month,gs_poswords,gs_negwords
299,GILD,2014,9,180,398
300,GILD,2014,10,4348,7222
301,GILD,2014,11,4815,7809
302,GILD,2014,12,118,146
303,GILD,2015,1,59,73
304,GILD,2015,3,105017,183883
305,GILD,2015,4,295,365
306,GILD,2015,5,149,272
307,GILD,2015,8,59,74
308,GILD,2015,10,177,219
309,GILD,2015,11,149,272
310,GILD,2016,1,534,836
311,GILD,2016,2,4425,7734
312,GILD,2016,4,118,146
313,GILD,2016,6,24276,56988
314,GILD,2016,7,326,492
315,GILD,2016,8,149,272
316,GILD,2016,9,141732,336668
317,GILD,2016,10,121203,284721
318,GILD,2016,11,298,544
319,GILD,2016,12,239,471
320,GILD,2017,1,593,909
321,GILD,2017,2,110135,262729
322,GILD,2017,3,26604,67592
323,GILD,2017,4,267,418
324,GILD,2017,5,149,272
325,GILD,2017,6,118,146
326,GILD,2017,7,90,199
327,GILD,2017,8,298,544
328,GILD,2017,9,59,73
329,GILD,2017,10,652,982
330,GILD,2017,11,677,928
331,GILD,2017,12,1203,1893
332,GILD,2018,1,503,710
333,GILD,2018,2,118,146
334,GILD,2018,3,210,950
335,GILD,2018,4,90,199
336,GILD,2018,5,712,2236
337,GILD,2018,6,118,146
338,GILD,2018,7,118,146
339,GILD,2018,8,295,365
340,GILD,2018,9,118,146
341,GILD,2018,10,565,962
342,GILD,2018,11,593,909
343,GILD,2018,12,506,889
344,GILD,2019,1,66079,133911
345,GILD,2019,2,130963,265467
346,GILD,2019,3,44492,105129
347,GILD,2019,4,621,856
348,GILD,2019,5,74856,164404
349,GILD,2019,6,171812,330666
350,GILD,2019,7,43362,85923
351,GILD,2019,8,239,471
352,GILD,2019,9,341,555
353,GILD,2019,10,11298,20788
354,GILD,2019,11,475,763
355,GILD,2019,12,11597,21304
356,GILD,2020,1,95521,196017
357,GILD,2020,2,63408,130240
358,GILD,2020,3,6404,10141
359,GILD,2020,4,537,1015
360,GILD,2020,5,568,1141
