,ticker,year,month,mthly_ave_resid,sec_pos_words,sec_neg_words,mthly_filing_count,gs_poswords,gs_negwords
187,AMGN,2016,5,-0.00010540372562988416,16901.0,27095.0,5.0,177.0,219.0
188,AMGN,2016,6,-0.0017005305317817304,5783.0,11031.0,2.0,118.0,146.0
189,AMGN,2016,7,0.00614010184426079,16161.0,23342.0,2.0,354.0,438.0
190,AMGN,2016,8,-0.0005007639787640999,5153.0,9602.0,2.0,118.0,146.0
191,AMGN,2016,9,-0.0009188512414945967,0.0,0.0,0.0,118.0,146.0
192,AMGN,2016,10,-0.007950542894289337,30289.0,43491.0,4.0,177.0,219.0
193,AMGN,2016,11,0.0009716818410124046,0.0,0.0,0.0,118.0,146.0
194,AMGN,2016,12,0.0007021260446376816,0.0,0.0,0.0,357.0,617.0
195,AMGN,2017,1,0.0034580735851293238,142.0,486.0,1.0,683.0,1108.0
196,AMGN,2017,2,0.006278177086048773,18208.0,28069.0,4.0,55038.0,131328.0
197,AMGN,2017,3,-0.0031825050442867574,0.0,0.0,0.0,227099.0,426410.0
198,AMGN,2017,4,-0.0002411420721271409,14283.0,20421.0,3.0,464.0,1278.0
199,AMGN,2017,5,-0.002306325882341237,6847.0,14700.0,2.0,0.0,0.0
200,AMGN,2017,6,0.004720837552511567,0.0,0.0,0.0,107.0,479.0
201,AMGN,2017,7,0.0006575623536097968,16077.0,27633.0,2.0,118.0,146.0
202,AMGN,2017,8,0.0008047212545697713,0.0,0.0,0.0,102.0,325.0
203,AMGN,2017,9,0.0023836243144445446,0.0,0.0,0.0,59.0,73.0
204,AMGN,2017,10,-0.002823670729646492,13970.0,20165.0,4.0,354.0,439.0
205,AMGN,2017,11,0.00011942833960851736,3869.0,8052.0,1.0,0.0,0.0
206,AMGN,2017,12,-0.0005034971537147695,327.0,861.0,1.0,0.0,0.0
207,AMGN,2018,1,0.0032159564253872643,0.0,0.0,0.0,267.0,418.0
208,AMGN,2018,2,-0.0006489722231174761,19143.0,30890.0,3.0,177.0,219.0
209,AMGN,2018,3,-0.003574620772728101,0.0,0.0,0.0,59.0,73.0
210,AMGN,2018,4,0.001104387365597612,13821.0,19108.0,2.0,118.0,146.0
211,AMGN,2018,5,0.0013196992569149504,492.0,1460.0,1.0,177.0,219.0
212,AMGN,2018,6,0.0012996975486988522,0.0,0.0,0.0,59.0,74.0
213,AMGN,2018,7,0.0029895113244351344,13734.0,18837.0,3.0,208.0,345.0
214,AMGN,2018,8,0.0007152189303873755,0.0,0.0,0.0,208.0,345.0
215,AMGN,2018,9,0.0019343075699606346,0.0,0.0,0.0,118.0,146.0
216,AMGN,2018,10,-0.0031529246885237333,13798.0,18735.0,2.0,565.0,962.0
217,AMGN,2018,11,0.003673228679064016,0.0,0.0,0.0,267.0,418.0
218,AMGN,2018,12,-0.003549130165879311,0.0,0.0,0.0,12501.0,40456.0
219,AMGN,2019,1,-0.0018861488298624197,8681.0,20077.0,1.0,416.0,690.0
220,AMGN,2019,2,0.0008288612283799906,16146.0,21386.0,2.0,31321.0,61579.0
221,AMGN,2019,3,-2.50602302058079e-05,0.0,0.0,0.0,62023.0,197985.0
222,AMGN,2019,4,-0.0027498486114947234,13533.0,18758.0,2.0,15574.0,49318.0
223,AMGN,2019,5,-0.003317099485535467,448.0,1181.0,1.0,88217.0,171279.0
224,AMGN,2019,6,0.005013028099683908,0.0,0.0,0.0,86353.0,166149.0
225,AMGN,2019,7,0.0005638080865023935,10930.0,20536.0,2.0,31647.0,62071.0
226,AMGN,2019,8,0.0050751945679971605,13332.0,29471.0,1.0,31206.0,61612.0
227,AMGN,2019,9,-0.003759261475422613,264.0,874.0,1.0,62067.0,122492.0
228,AMGN,2019,10,0.004223305392943931,16706.0,34079.0,5.0,62710.0,123768.0
229,AMGN,2019,11,0.0010900239155256207,2148.0,5339.0,1.0,357.0,617.0
230,BIIB,2010,5,7.384714302423721e-05,0.0,0.0,0.0,90.0,199.0
231,BIIB,2010,6,1.9163400500892622e-05,227.0,412.0,2.0,149.0,272.0
232,BIIB,2010,7,0.007787143446117208,13991.0,19217.0,3.0,59.0,73.0
233,BIIB,2010,8,-0.0017242318416590301,95.0,182.0,1.0,149.0,272.0
234,BIIB,2010,9,0.0020104182483262367,0.0,0.0,0.0,177.0,219.0
235,BIIB,2010,10,0.0052870797025708,14672.0,19774.0,4.0,90.0,199.0
236,BIIB,2010,11,0.0009473015518538787,779.0,1431.0,1.0,0.0,0.0
237,BIIB,2010,12,0.0021374733044484933,0.0,0.0,0.0,118.0,146.0
238,BIIB,2011,1,-0.001192330707205797,349.0,523.0,1.0,180.0,398.0
239,BIIB,2011,2,0.0023042529388656616,16105.0,22577.0,6.0,0.0,0.0
240,BIIB,2011,3,0.003108883883065134,67.0,171.0,1.0,59.0,73.0
241,BIIB,2011,4,0.014225624835075746,13087.0,17616.0,2.0,59.0,73.0
242,BIIB,2011,5,-0.001445661791637486,0.0,0.0,0.0,0.0,0.0
243,BIIB,2011,6,0.005502277219134198,2899.0,3346.0,3.0,90.0,199.0
244,BIIB,2011,7,-0.0024191678290820433,11458.0,14278.0,2.0,0.0,0.0
245,BIIB,2011,8,-0.003403363842516315,0.0,0.0,0.0,59.0,73.0
246,BIIB,2011,9,-0.0005337636074886017,83.0,172.0,1.0,0.0,0.0
247,BIIB,2011,10,0.010594177402090352,11530.0,14270.0,2.0,90.0,199.0
248,BIIB,2011,11,-0.0005805530577024035,95.0,214.0,1.0,0.0,0.0
249,BIIB,2011,12,-0.0020743994741668783,144.0,512.0,2.0,90.0,199.0
250,BIIB,2012,1,0.0034662972138624084,1126.0,2388.0,1.0,59.0,73.0
251,BIIB,2012,2,-0.0006313520192484311,11934.0,20744.0,2.0,0.0,0.0
252,BIIB,2012,3,0.0035749166980036415,94.0,416.0,1.0,0.0,0.0
253,BIIB,2012,4,0.00308162380449777,0.0,0.0,0.0,0.0,0.0
254,BIIB,2012,5,-0.0011194218225636771,8167.0,17450.0,2.0,59.0,73.0
255,BIIB,2012,6,0.00472198302786467,570.0,1082.0,1.0,59.0,73.0
256,BIIB,2012,7,0.0004758488453035804,6310.0,12049.0,2.0,0.0,0.0
257,BIIB,2012,8,0.00022599900166908786,0.0,0.0,0.0,0.0,0.0
258,BIIB,2012,9,0.0009323792278142055,0.0,0.0,0.0,4397.0,7653.0
259,BIIB,2012,10,-0.003646687545485689,14053.0,18397.0,3.0,90.0,199.0
260,BIIB,2012,11,0.0036083718897145256,0.0,0.0,0.0,0.0,0.0
261,BIIB,2012,12,-0.0009206248370377184,0.0,0.0,0.0,59.0,73.0
262,BIIB,2013,1,0.0030586228052331033,3003.0,5820.0,2.0,0.0,0.0
263,BIIB,2013,2,0.003350797704124459,15830.0,21748.0,2.0,0.0,0.0
264,BIIB,2013,3,0.007334272317926313,271.0,280.0,1.0,0.0,0.0
265,BIIB,2013,4,0.0058196681718804275,14082.0,18680.0,3.0,118.0,146.0
266,BIIB,2013,5,0.0036987968132064673,699.0,1254.0,1.0,118.0,146.0
267,BIIB,2013,6,-0.004927886317428672,617.0,668.0,1.0,19072.0,41953.0
268,BIIB,2013,7,0.0006147010731068413,13428.0,17915.0,2.0,228864.0,503436.0
269,BIIB,2013,8,-0.0010775072565141189,3842.0,3952.0,1.0,59.0,73.0
270,BIIB,2013,9,0.006120724289599922,0.0,0.0,0.0,4398.0,7633.0
271,BIIB,2013,10,0.0006150459535443404,13453.0,17903.0,2.0,0.0,0.0
272,BIIB,2013,11,0.008763677623684676,0.0,0.0,0.0,0.0,0.0
273,BIIB,2013,12,-0.001903211362143767,0.0,0.0,0.0,149.0,272.0
274,BIIB,2014,1,0.005323794335456926,2917.0,5023.0,1.0,0.0,0.0
275,BIIB,2014,2,0.004520588582401654,15212.0,20286.0,2.0,118.0,146.0
276,BIIB,2014,3,-0.005132544745490751,0.0,0.0,0.0,0.0,0.0
277,BIIB,2014,4,-0.0030123775850273062,13671.0,17999.0,2.0,0.0,0.0
278,BIIB,2014,5,0.005069050482669173,0.0,0.0,0.0,59.0,73.0
279,BIIB,2014,6,-0.000609238849420494,678.0,701.0,1.0,0.0,0.0
280,BIIB,2014,7,0.0026705339151012917,13434.0,17824.0,2.0,0.0,0.0
281,BIIB,2014,8,0.0012161458613408104,0.0,0.0,0.0,298.0,544.0
282,BIIB,2014,9,-0.0017287094425321755,0.0,0.0,0.0,149.0,272.0
283,BIIB,2014,10,-0.0012979962441635317,13434.0,17754.0,2.0,4658.0,7658.0
284,BIIB,2014,11,-0.0022419726787291593,0.0,0.0,0.0,59.0,73.0
285,BIIB,2014,12,0.004465177552812068,0.0,0.0,0.0,118.0,146.0
286,BIIB,2015,1,0.006833194140432916,3061.0,5649.0,1.0,0.0,0.0
287,BIIB,2015,2,0.0026929511003334736,15079.0,21912.0,3.0,90.0,199.0
288,BIIB,2015,3,0.0013825999637736416,5866.0,7187.0,1.0,0.0,0.0
289,BIIB,2015,4,-0.0057859645282182445,12019.0,16563.0,2.0,59.0,73.0
