,ticker,date,poswords,negwords,daily_filing_count
131,ALXN,2011-02-03,14551.0,23647.0,2
132,ALXN,2011-02-10,1066.0,2464.0,1
133,ALXN,2011-02-11,108.0,146.0,1
134,ALXN,2011-02-17,9243.0,15980.0,1
135,ALXN,2011-03-10,10345.0,17200.0,1
136,ALXN,2011-03-15,139.0,480.0,1
137,ALXN,2011-04-13,1305.0,1889.0,1
138,ALXN,2011-04-21,713.0,1655.0,1
139,ALXN,2011-05-04,9387.0,17200.0,1
140,ALXN,2011-05-12,294.0,887.0,1
141,ALXN,2011-05-31,192.0,609.0,1
142,ALXN,2011-06-20,347.0,882.0,1
143,ALXN,2011-07-21,912.0,1957.0,1
144,ALXN,2011-08-03,10101.0,18935.0,1
145,ALXN,2011-09-23,107.0,350.0,2
146,ALXN,2011-10-20,962.0,1999.0,2
147,ALXN,2011-10-31,10180.0,18772.0,1
148,ALXN,2011-11-30,558.0,1154.0,1
149,ALXN,2011-12-02,795.0,1967.0,1
150,ALXN,2012-01-04,12175.0,19630.0,1
151,ALXN,2012-02-07,14158.0,25217.0,1
152,ALXN,2012-02-09,996.0,2274.0,2
153,ALXN,2012-02-17,15409.0,20166.0,1
154,ALXN,2012-04-24,2030.0,4050.0,1
155,ALXN,2012-05-02,15136.0,19653.0,1
156,ALXN,2012-05-07,168.0,302.0,1
157,ALXN,2012-05-11,374.0,819.0,1
158,ALXN,2012-05-23,124.0,397.0,1
159,ALXN,2012-05-24,112.0,415.0,1
160,ALXN,2012-05-29,2291.0,3953.0,1
161,ALXN,2012-07-25,2664.0,5763.0,1
162,ALXN,2012-07-27,14239.0,18513.0,1
163,ALXN,2012-09-28,128.0,223.0,1
164,ALXN,2012-10-24,3111.0,6915.0,1
165,ALXN,2012-10-29,14199.0,18462.0,1
166,ALXN,2012-11-08,228.0,369.0,1
167,ALXN,2013-01-25,190.0,454.0,1
168,ALXN,2013-02-11,154.0,180.0,1
169,ALXN,2013-02-13,102.0,184.0,1
170,ALXN,2013-02-14,3106.0,7076.0,1
171,ALXN,2013-02-19,15914.0,20289.0,1
172,ALXN,2013-03-28,211.0,394.0,1
173,ALXN,2013-04-25,2190.0,4759.0,1
174,ALXN,2013-04-30,15008.0,20087.0,1
175,ALXN,2013-05-10,449.0,969.0,1
176,ALXN,2013-07-25,3650.0,8244.0,1
177,ALXN,2013-07-26,13504.0,18748.0,1
178,ALXN,2013-08-01,141.0,259.0,1
179,ALXN,2013-08-20,223.0,356.0,1
180,ALXN,2013-10-24,4050.0,9156.0,1
181,ALXN,2013-10-25,13628.0,18694.0,1
182,ALXN,2013-11-12,269.0,382.0,1
183,ALXN,2013-12-13,472.0,608.0,1
184,ALXN,2013-12-20,125.0,217.0,1
185,ALXN,2014-01-16,365.0,589.0,1
186,ALXN,2014-01-30,3995.0,9295.0,1
187,ALXN,2014-02-10,16456.0,20799.0,1
188,ALXN,2014-04-17,2150.0,2772.0,1
189,ALXN,2014-04-24,2614.0,5813.0,1
190,ALXN,2014-04-25,13769.0,18018.0,1
191,ALXN,2014-04-30,144.0,289.0,1
192,ALXN,2014-05-07,510.0,1138.0,1
193,ALXN,2014-07-16,337.0,700.0,1
194,ALXN,2014-07-24,3531.0,8193.0,1
195,ALXN,2014-07-25,13542.0,18341.0,1
196,ALXN,2014-07-30,146.0,288.0,1
197,ALXN,2014-08-25,191.0,355.0,1
198,ALXN,2014-09-17,523.0,780.0,1
199,ALXN,2014-10-07,290.0,492.0,1
200,ALXN,2014-10-09,338.0,565.0,1
201,ALXN,2014-10-23,3714.0,8480.0,1
202,ALXN,2014-10-24,13457.0,18364.0,1
203,ALXN,2014-11-10,336.0,686.0,1
204,ALXN,2014-12-15,230.0,440.0,1
