date,sp500
12/29/2011,2168.120117
12/30/2011,2158.939941
1/3/2012,2192.399902
1/4/2012,2193.280029
1/5/2012,2199.72998
1/6/2012,2194.97998
1/9/2012,2200
1/10/2012,2219.580078
1/11/2012,2220.47998
1/12/2012,2225.73999
1/13/2012,2214.72998
1/17/2012,2222.590088
1/18/2012,2247.639893
1/19/2012,2258.800049
1/20/2012,2260.370117
1/23/2012,2261.469971
1/24/2012,2259.219971
1/25/2012,2278.830078
1/26/2012,2265.840088
1/27/2012,2262.350098
1/30/2012,2256.719971
1/31/2012,2255.689941
2/1/2012,2276.23999
2/2/2012,2278.919922
2/3/2012,2312.48999
2/6/2012,2311.550049
2/7/2012,2316.27002
2/8/2012,2322.110107
2/9/2012,2325.560059
2/10/2012,2309.600098
2/13/2012,2325.810059
2/14/2012,2324
2/15/2012,2312.280029
2/16/2012,2338.120117
2/17/2012,2343.669922
2/21/2012,2345.409912
2/22/2012,2337.669922
2/23/2012,2348.110107
2/24/2012,2352.340088
2/27/2012,2355.73999
2/28/2012,2364.030029
2/29/2012,2353.22998
3/1/2012,2367.870117
3/2/2012,2360.280029
3/5/2012,2351.280029
3/6/2012,2315.209961
3/7/2012,2331.889893
3/8/2012,2355.01001
3/9/2012,2363.560059
3/12/2012,2364.100098
3/13/2012,2407.790039
3/14/2012,2404.97998
3/15/2012,2419.370117
3/16/2012,2422.090088
3/19/2012,2431.72998
3/20/2012,2424.459961
3/21/2012,2420.02002
3/22/2012,2402.709961
3/23/2012,2410.159912
3/26/2012,2443.639893
3/27/2012,2437.01001
3/28/2012,2425.550049
3/29/2012,2421.699951
3/30/2012,2430.669922
4/2/2012,2449.080078
4/3/2012,2439.889893
4/4/2012,2415.050049
4/5/2012,2414.399902
4/9/2012,2387.030029
4/10/2012,2346.27002
4/11/2012,2364.090088
4/12/2012,2396.689941
4/13/2012,2366.840088
4/16/2012,2365.649902
4/17/2012,2402.290039
4/18/2012,2392.570068
4/19/2012,2378.47998
4/20/2012,2381.320068
4/23/2012,2361.350098
4/24/2012,2370.040039
4/25/2012,2402.709961
4/26/2012,2418.889893
4/27/2012,2424.780029
4/30/2012,2415.419922
5/1/2012,2429.100098
5/2/2012,2423.290039
5/3/2012,2405.169922
5/4/2012,2366.389893
5/7/2012,2367.26001
5/8/2012,2357.449951
5/9/2012,2342.310059
5/10/2012,2348.929932
5/11/2012,2341.22998
5/14/2012,2315.449951
5/15/2012,2302.560059
5/16/2012,2293.209961
5/17/2012,2258.929932
5/18/2012,2242.25
5/21/2012,2278.23999
5/22/2012,2279.399902
5/23/2012,2283.360107
5/24/2012,2286.870117
5/25/2012,2281.919922
5/29/2012,2307.570068
5/30/2012,2275.189941
5/31/2012,2270.25
6/1/2012,2214.409912
6/4/2012,2214.699951
6/5/2012,2227.449951
6/6/2012,2279.419922
6/7/2012,2279.280029
